UnixTime	Latitude	Longitude	Altitude
1480742482	-79.204720	142.923706	39890.351562
1480742582	-79.208084	142.858322	39882.378906
1480742682	-79.211655	142.793137	39884.851562
1480742782	-79.215233	142.727142	39863.671875
1480742882	-79.218742	142.659134	39852.609375
1480742982	-79.222382	142.590179	39882.390625
1480743082	-79.226250	142.520859	39868.808594
1480743182	-79.230156	142.450836	39863.421875
1480743282	-79.233978	142.381409	39872.730469
1480743382	-79.237823	142.312408	39859.390625
1480743482	-79.242172	142.243042	39836.460938
1480743582	-79.247070	142.175812	39861.128906
1480743682	-79.252594	142.110321	39859.800781
1480743782	-79.258591	142.045212	39833.910156
1480743882	-79.264763	141.980576	39865.000000
1480743982	-79.270775	141.917557	39857.839844
1480744082	-79.276512	141.854431	39842.789062
1480744182	-79.282097	141.790390	39854.480469
1480744282	-79.287399	141.726273	39849.601562
1480744382	-79.292511	141.661148	39828.789062
1480744482	-79.297676	141.594986	39824.679688
1480744582	-79.302849	141.529388	39807.488281
1480744682	-79.307892	141.465393	39810.730469
1480744782	-79.313309	141.400513	39795.628906
1480744882	-79.319023	141.333878	39720.839844
1480744982	-79.324875	141.267899	39769.921875
1480745082	-79.330902	141.201736	39734.480469
1480745182	-79.336906	141.133682	39694.621094
1480745282	-79.343254	141.064941	39739.839844
1480745382	-79.349525	140.997162	39694.718750
1480745482	-79.355553	140.928818	39713.730469
1480745582	-79.361481	140.860107	39719.378906
1480745682	-79.367401	140.791138	39710.820312
1480745789	-79.374039	140.714493	39698.570312
1480745889	-79.380302	140.638931	39691.738281
1480745989	-79.386505	140.562027	39725.949219
1480746089	-79.392883	140.484451	39703.550781
1480746189	-79.399376	140.407883	39681.769531
1480746289	-79.406067	140.333618	39702.429688
1480746389	-79.412506	140.259003	39672.570312
1480746489	-79.418808	140.184509	39717.199219
1480746589	-79.425217	140.110138	39687.648438
1480746689	-79.431183	140.033737	39681.648438
1480746789	-79.437347	139.959000	39680.339844
1480746889	-79.443420	139.884262	39663.699219
1480746989	-79.449699	139.807663	39698.679688
1480747089	-79.456078	139.731049	39735.199219
1480747189	-79.462265	139.652451	39732.191406
1480747289	-79.468544	139.573364	39734.441406
1480747389	-79.475082	139.494934	39729.410156
